applicant_id,age,annual_income,emp_length_years,home_ownership,loan_amount,loan_intent,loan_term_months,interest_rate,credit_score,dti_ratio,revolving_utilization,total_open_acc,delinq_2yrs,derogatory_recs,target_default
APP-10032,48,78799.65,18,MORTGAGE,39000,HOMEIMPROVEMENT,60,12.38,740,9.58,22.4,11,0,0,0
APP-10033,36,38010.82,7,RENT,22000,DEBTCONSOLIDATION,36,11.52,782,5.6,21.49,10,0,0,0
APP-10034,35,50243.51,7,MORTGAGE,27000,DEBTCONSOLIDATION,60,11.35,681,11.53,51.12,15,0,0,0
APP-10035,67,196923.76,12,RENT,4000,MEDICAL,60,11.89,712,22.7,44.59,5,0,0,0
APP-10036,64,88749.16,15,RENT,39000,HOMEIMPROVEMENT,36,14.13,727,30.63,11.88,14,0,0,0
APP-10037,23,,14,RENT,18000,VENTURE,36,13.32,620,9.57,62.3,4,0,1,0
APP-10038,57,56355.55,0,MORTGAGE,40000,MEDICAL,36,11.53,693,14.07,20.51,14,0,0,0
APP-10039,27,94253.55,13,MORTGAGE,7000,VENTURE,36,12.34,716,31.54,33.79,12,0,0,0
APP-10040,41,83402.64,8,MORTGAGE,22000,DEBTCONSOLIDATION,36,8.54,721,24.35,44.98,12,0,1,1
APP-10041,29,62180.69,10,MORTGAGE,14000,DEBTCONSOLIDATION,36,11.0,674,19.94,34.6,12,0,0,0
APP-10042,59,63056.09,11,MORTGAGE,10000,PERSONAL,36,16.59,611,30.29,70.04,3,0,0,0
APP-10043,38,28568.95,14,RENT,6000,DEBTCONSOLIDATION,36,12.71,719,17.93,58.61,11,2,0,0
APP-10044,24,25719.24,17,MORTGAGE,8000,HOMEIMPROVEMENT,36,13.17,704,29.64,24.27,11,0,0,0
APP-10045,45,54807.86,12,RENT,39000,HOMEIMPROVEMENT,36,11.45,739,23.71,10.54,6,1,0,0
APP-10046,34,43623.77,11,RENT,39000,HOMEIMPROVEMENT,36,15.93,564,11.42,42.79,8,0,0,1
APP-10047,29,80261.03,6,RENT,32000,PERSONAL,36,12.61,691,20.55,34.41,3,0,0,0
APP-10048,46,66077.92,1,RENT,5000,PERSONAL,36,15.05,670,20.39,30.18,8,0,0,0
APP-10049,22,40684.92,20,OWN,14000,MEDICAL,36,11.46,660,16.18,32.83,12,0,0,0
APP-10050,40,64964.69,8,RENT,16000,VENTURE,60,17.05,616,17.06,65.05,8,0,0,0
APP-10051,48,48575.94,11,RENT,14000,HOMEIMPROVEMENT,60,12.72,631,8.82,47.33,7,0,0,0
APP-10052,67,168265.89,15,MORTGAGE,27000,DEBTCONSOLIDATION,36,13.7,698,20.68,60.0,6,0,0,0
APP-10053,27,72629.11,0,RENT,20000,HOMEIMPROVEMENT,36,13.39,645,8.42,55.26,11,0,0,0
APP-10054,64,27438.34,17,MORTGAGE,2000,PERSONAL,36,14.16,631,15.2,72.74,9,0,0,0
APP-10055,28,148784.99,16,OWN,14000,HOMEIMPROVEMENT,60,11.06,686,2.67,10.8,7,0,0,0
APP-10056,67,43626.74,15,RENT,26000,DEBTCONSOLIDATION,60,19.42,640,27.89,50.69,9,0,0,1
APP-10057,55,36777.13,0,RENT,21000,VENTURE,36,13.51,685,9.87,43.7,6,0,0,0
APP-10058,34,174877.91,10,RENT,24000,PERSONAL,36,15.03,683,21.44,63.25,4,0,0,0
APP-10059,37,71176.52,0,MORTGAGE,25000,MEDICAL,36,9.69,701,11.52,14.4,5,0,0,0
APP-10060,56,84998.0,10,RENT,40000,DEBTCONSOLIDATION,36,16.16,633,32.38,19.05,13,0,0,0
APP-10061,60,86381.61,14,MORTGAGE,31000,PERSONAL,60,12.54,740,2.73,70.85,13,0,1,0
APP-10062,24,54014.36,1,MORTGAGE,35000,DEBTCONSOLIDATION,36,11.26,735,8.16,20.02,12,0,0,0
APP-10063,22,44972.09,14,RENT,11000,PERSONAL,60,12.26,687,2.17,37.85,14,0,0,0
APP-10064,26,48794.42,8,RENT,2000,DEBTCONSOLIDATION,36,10.72,709,8.95,18.43,7,0,0,0
APP-10065,62,133844.39,16,RENT,13000,VENTURE,60,12.83,715,20.97,38.46,10,0,0,0
APP-10066,24,66296.59,10,MORTGAGE,30000,DEBTCONSOLIDATION,36,10.22,723,26.0,56.84,11,2,0,0
APP-10067,49,115434.38,5,RENT,12000,PERSONAL,36,12.04,720,18.0,39.75,9,1,0,0
APP-10068,38,57628.78,5,RENT,18000,PERSONAL,36,13.46,717,14.51,4.51,7,0,0,0
APP-10069,46,41040.24,18,RENT,21000,PERSONAL,60,14.48,706,19.55,75.76,9,0,0,0
APP-10070,64,29111.59,8,MORTGAGE,39000,HOMEIMPROVEMENT,60,12.72,712,5.46,35.84,5,0,3,0
APP-10071,54,82784.95,7,RENT,7000,DEBTCONSOLIDATION,36,16.89,561,9.72,42.58,11,0,0,0
APP-10072,30,139671.57,0,OTHER,21000,DEBTCONSOLIDATION,60,16.17,621,24.86,23.25,13,0,0,0
APP-10073,56,38446.14,6,MORTGAGE,11000,DEBTCONSOLIDATION,60,12.76,723,11.57,74.23,10,0,1,0
APP-10074,34,77395.68,17,MORTGAGE,11000,PERSONAL,36,12.81,625,14.46,59.16,10,4,0,0
APP-10075,51,30097.34,15,MORTGAGE,32000,PERSONAL,60,12.42,690,9.14,45.39,8,0,0,0
APP-10076,68,45349.37,3,MORTGAGE,27000,VENTURE,60,13.56,640,6.27,43.27,11,0,0,0
APP-10077,35,68457.5,7,MORTGAGE,18000,PERSONAL,60,13.28,703,29.56,13.24,12,0,2,1
APP-10078,28,25231.61,2,RENT,15000,EDUCATION,36,16.13,498,14.31,22.89,9,0,0,0
APP-10079,34,59337.0,19,MORTGAGE,6000,DEBTCONSOLIDATION,36,11.8,706,6.51,38.61,9,0,0,0
APP-10080,43,39405.07,11,RENT,4000,DEBTCONSOLIDATION,36,13.84,680,5.58,55.47,15,0,0,0
APP-10081,60,81014.19,15,RENT,21000,DEBTCONSOLIDATION,36,13.01,631,20.78,39.33,7,0,0,0
APP-10082,41,55121.75,14,RENT,16000,DEBTCONSOLIDATION,60,10.82,743,4.22,39.86,11,0,0,0
APP-10083,36,95771.41,18,MORTGAGE,4000,EDUCATION,60,9.72,790,10.73,47.98,8,0,0,0
APP-10084,65,52062.53,19,MORTGAGE,4000,HOMEIMPROVEMENT,36,13.89,561,20.74,42.49,9,0,0,0
APP-10085,38,30297.19,0,MORTGAGE,24000,DEBTCONSOLIDATION,36,14.22,649,4.19,33.31,11,0,0,0
APP-10086,67,28467.55,20,MORTGAGE,10000,PERSONAL,36,14.94,598,12.9,38.58,8,2,0,0
APP-10087,44,23051.71,18,RENT,12000,VENTURE,36,15.2,583,7.86,74.46,13,0,0,0
APP-10088,46,82164.52,6,RENT,14000,DEBTCONSOLIDATION,36,14.08,695,23.23,30.93,11,0,0,0
APP-10089,45,215101.54,17,RENT,9000,PERSONAL,36,18.37,625,14.95,32.92,8,0,0,0
APP-10090,65,,15,RENT,23000,DEBTCONSOLIDATION,36,16.15,625,6.18,31.65,7,0,0,0
APP-10091,61,138140.07,16,MORTGAGE,39000,PERSONAL,60,15.45,644,3.42,51.71,11,1,1,0
APP-10092,49,105533.81,3,MORTGAGE,28000,DEBTCONSOLIDATION,36,10.34,685,11.37,62.07,14,0,0,0
APP-10093,35,46204.48,13,RENT,27000,HOMEIMPROVEMENT,36,9.63,756,13.07,20.38,8,0,0,0
APP-10094,65,112719.53,0,MORTGAGE,24000,HOMEIMPROVEMENT,36,12.41,709,15.06,40.21,11,2,0,0
APP-10095,21,47132.25,17,OWN,40000,PERSONAL,36,10.92,707,40.29,8.31,17,0,1,0
APP-10096,45,47602.76,19,RENT,32000,MEDICAL,36,18.32,639,13.13,72.43,19,0,0,0
APP-10097,27,53944.11,13,MORTGAGE,30000,MEDICAL,36,10.74,742,18.21,36.35,10,0,0,0
APP-10098,29,55237.7,9,RENT,2000,DEBTCONSOLIDATION,60,12.72,754,31.95,64.88,5,0,0,0
APP-10099,44,83340.07,14,MORTGAGE,11000,DEBTCONSOLIDATION,36,11.64,742,11.82,16.28,15,0,0,0
APP-10100,21,42811.27,5,RENT,5000,DEBTCONSOLIDATION,36,15.12,644,12.63,38.66,12,0,0,0
APP-10101,64,93391.11,12,MORTGAGE,32000,DEBTCONSOLIDATION,36,11.65,737,36.06,22.25,11,0,0,0
APP-10102,28,92723.02,14,RENT,5000,PERSONAL,36,13.04,762,48.54,13.08,5,0,0,0
APP-10103,44,71074.35,1,OWN,30000,DEBTCONSOLIDATION,36,10.78,739,7.95,84.14,18,0,0,0
APP-10104,31,157914.01,1,MORTGAGE,10000,HOMEIMPROVEMENT,36,11.54,679,2.62,57.4,14,2,0,0
APP-10105,37,113970.66,14,RENT,16000,DEBTCONSOLIDATION,36,14.41,639,22.45,48.27,12,0,0,0
APP-10106,28,102218.16,8,MORTGAGE,4000,DEBTCONSOLIDATION,36,10.75,701,13.91,23.03,9,0,0,0
APP-10107,55,61887.7,18,MORTGAGE,16000,VENTURE,36,12.43,659,24.6,41.7,12,0,0,0
APP-10108,55,71387.86,5,MORTGAGE,12000,DEBTCONSOLIDATION,36,18.45,511,25.9,47.44,8,0,0,0
APP-10109,53,77800.54,0,OWN,7000,DEBTCONSOLIDATION,60,13.23,650,27.15,36.31,9,1,0,0
APP-10110,25,60271.86,13,MORTGAGE,8000,DEBTCONSOLIDATION,36,8.13,705,15.94,10.17,10,0,0,0
APP-10111,62,49623.28,13,MORTGAGE,5000,DEBTCONSOLIDATION,60,11.75,716,9.43,80.84,8,0,0,0
APP-10112,59,18000.0,10,RENT,22000,VENTURE,36,10.43,782,8.54,29.02,9,0,0,0
APP-10113,61,85723.54,13,RENT,2000,PERSONAL,36,9.43,771,8.6,87.75,16,0,0,0
APP-10114,48,100782.86,10,OTHER,24000,PERSONAL,36,14.37,718,8.1,88.18,16,0,0,0
APP-10115,27,33504.69,14,OWN,14000,VENTURE,60,15.45,641,43.21,58.6,16,0,1,0
APP-10116,29,81030.78,0,RENT,29000,VENTURE,36,13.69,696,11.63,16.86,11,0,0,0
APP-10117,28,44544.17,6,MORTGAGE,30000,DEBTCONSOLIDATION,36,11.47,664,47.23,8.04,10,1,0,0
APP-10118,32,49848.09,3,MORTGAGE,19000,DEBTCONSOLIDATION,36,17.36,561,15.82,12.78,17,0,0,0
APP-10119,54,115310.1,0,MORTGAGE,24000,DEBTCONSOLIDATION,36,8.22,850,10.57,53.87,9,0,0,0
APP-10120,53,36485.96,3,MORTGAGE,29000,DEBTCONSOLIDATION,36,14.19,623,8.3,11.82,7,0,3,0
APP-10121,68,36458.36,2,RENT,10000,PERSONAL,36,20.0,578,9.63,59.53,8,2,0,0
APP-10122,43,147623.03,20,OWN,7000,DEBTCONSOLIDATION,36,18.43,576,14.66,66.23,13,0,2,0
APP-10123,44,55671.39,4,RENT,17000,DEBTCONSOLIDATION,36,14.2,677,14.03,2.2,3,0,0,0
APP-10124,57,111666.59,3,MORTGAGE,38000,PERSONAL,60,10.41,749,13.48,46.58,14,0,0,0
APP-10125,55,26920.64,17,RENT,2000,HOMEIMPROVEMENT,60,10.61,647,11.79,43.58,11,1,0,0
APP-10126,64,28020.69,7,MORTGAGE,23000,VENTURE,60,12.95,721,22.08,44.65,6,0,0,0
APP-10127,60,37931.14,7,MORTGAGE,24000,DEBTCONSOLIDATION,60,11.07,711,5.93,24.09,12,3,0,0
APP-10128,42,47064.28,8,MORTGAGE,22000,PERSONAL,60,12.38,670,8.43,51.62,12,1,0,0
APP-10129,47,29683.8,7,MORTGAGE,32000,DEBTCONSOLIDATION,60,14.51,627,10.61,57.99,10,0,1,0
APP-10130,55,72016.33,5,MORTGAGE,39000,EDUCATION,36,8.9,740,24.85,24.13,9,0,0,0
APP-10131,21,74406.39,4,RENT,29000,DEBTCONSOLIDATION,36,10.92,699,18.34,37.09,20,0,0,0
APP-10132,55,38212.9,18,OWN,28000,PERSONAL,60,13.91,689,31.62,13.29,9,0,0,0
APP-10133,57,39763.34,1,RENT,40000,EDUCATION,36,10.9,764,36.79,68.69,11,0,0,0
APP-10134,67,42472.38,2,MORTGAGE,14000,DEBTCONSOLIDATION,60,12.53,707,20.47,45.46,11,0,0,0
APP-10135,34,33441.64,11,RENT,33000,VENTURE,60,11.98,643,27.44,28.45,19,0,3,1
APP-10136,23,18000.0,6,RENT,8000,DEBTCONSOLIDATION,60,12.49,751,14.83,23.25,14,0,0,0
APP-10137,21,57381.65,7,RENT,34000,DEBTCONSOLIDATION,36,10.7,770,9.77,49.62,14,0,0,0
APP-10138,25,48280.41,16,OWN,14000,DEBTCONSOLIDATION,36,9.44,713,34.12,17.55,9,1,0,0
APP-10139,46,50813.99,18,RENT,33000,MEDICAL,36,14.44,677,12.28,17.52,8,0,0,0
APP-10140,34,36101.81,16,RENT,8000,DEBTCONSOLIDATION,36,8.3,792,10.27,20.2,17,0,0,0
APP-10141,59,89791.78,3,MORTGAGE,13000,DEBTCONSOLIDATION,60,10.24,783,5.06,65.02,10,0,0,0
APP-10142,47,201329.03,20,RENT,16000,EDUCATION,60,9.38,714,26.77,22.15,10,0,0,0
APP-10143,29,39456.64,6,MORTGAGE,22000,HOMEIMPROVEMENT,60,14.88,609,15.9,83.16,6,0,0,0
APP-10144,35,120553.4,2,MORTGAGE,13000,PERSONAL,36,10.61,648,48.69,68.61,9,0,0,0
APP-10145,35,71921.1,9,MORTGAGE,14000,PERSONAL,36,7.61,829,10.36,2.74,16,0,0,0
APP-10146,46,60943.95,14,RENT,40000,DEBTCONSOLIDATION,60,15.01,651,12.01,64.19,9,0,0,0
APP-10147,62,50409.69,0,RENT,3000,VENTURE,36,9.12,760,20.53,46.5,5,0,0,0
APP-10148,33,57433.99,12,RENT,30000,VENTURE,60,15.37,625,13.01,50.08,11,0,0,0
APP-10149,52,106382.39,17,RENT,30000,DEBTCONSOLIDATION,36,12.37,647,8.21,27.01,13,0,0,0
APP-10150,59,33892.86,4,RENT,37000,DEBTCONSOLIDATION,36,13.8,658,16.53,74.08,15,0,0,0
APP-10151,69,52182.2,14,MORTGAGE,39000,MEDICAL,60,13.68,723,10.89,58.53,11,2,0,0
APP-10152,52,111803.72,7,MORTGAGE,8000,DEBTCONSOLIDATION,36,11.92,706,17.73,39.68,10,0,0,0
APP-10153,24,97915.23,7,RENT,31000,HOMEIMPROVEMENT,36,8.45,850,2.62,13.77,6,0,0,0
APP-10154,50,34156.46,4,RENT,24000,PERSONAL,36,17.51,586,13.61,67.39,5,0,0,0
APP-10155,57,54649.98,12,MORTGAGE,29000,VENTURE,36,18.06,582,33.81,14.37,9,0,2,1
APP-10156,43,86163.67,6,RENT,24000,DEBTCONSOLIDATION,36,11.78,653,11.24,62.07,16,0,0,0
APP-10157,59,83425.9,17,MORTGAGE,37000,VENTURE,60,13.37,708,5.46,1.19,9,1,0,0
APP-10158,65,97496.06,20,RENT,30000,DEBTCONSOLIDATION,36,14.1,713,10.02,8.86,10,0,0,0
APP-10159,35,72558.1,19,OWN,5000,DEBTCONSOLIDATION,36,15.51,684,44.54,24.0,7,0,0,0
APP-10160,63,78903.16,1,MORTGAGE,21000,PERSONAL,60,13.64,629,38.47,42.66,9,0,2,1
APP-10161,49,71068.41,0,OWN,6000,DEBTCONSOLIDATION,36,13.19,681,10.15,63.9,6,0,0,0
APP-10162,56,131908.86,8,RENT,12000,HOMEIMPROVEMENT,36,12.87,632,18.69,15.64,16,0,0,0
APP-10163,33,48489.1,14,RENT,3000,PERSONAL,36,12.11,687,15.03,57.61,5,0,0,0
APP-10164,52,61334.37,20,MORTGAGE,25000,HOMEIMPROVEMENT,60,9.02,744,10.37,8.16,9,5,0,0
APP-10165,27,36044.72,16,OWN,34000,HOMEIMPROVEMENT,60,19.13,557,8.37,13.18,10,0,0,0
APP-10166,42,32662.7,11,MORTGAGE,23000,MEDICAL,60,11.92,756,10.48,12.5,11,1,3,0
APP-10167,48,70437.31,0,MORTGAGE,7000,VENTURE,36,17.69,578,20.24,57.46,9,0,0,1
APP-10168,22,41685.43,17,RENT,25000,PERSONAL,36,15.58,621,6.65,17.24,16,1,0,0
APP-10169,62,58171.87,2,RENT,30000,PERSONAL,36,7.69,843,5.23,6.04,6,3,0,0
APP-10170,65,134440.18,0,RENT,33000,HOMEIMPROVEMENT,36,13.84,654,17.13,28.43,12,0,0,0
APP-10171,26,130609.71,17,MORTGAGE,31000,HOMEIMPROVEMENT,60,11.64,748,12.7,43.86,11,0,0,0
APP-10172,48,182047.4,11,RENT,4000,DEBTCONSOLIDATION,60,11.4,774,7.81,36.39,13,0,0,0
APP-10173,48,135784.76,1,RENT,26000,DEBTCONSOLIDATION,36,11.76,750,15.14,9.72,10,0,0,0
APP-10174,64,199089.37,7,MORTGAGE,29000,PERSONAL,36,18.28,589,8.53,29.37,7,1,0,0
APP-10175,64,74478.43,0,OWN,16000,DEBTCONSOLIDATION,60,17.49,671,19.66,30.31,10,0,1,0
APP-10176,40,38119.82,12,MORTGAGE,18000,DEBTCONSOLIDATION,36,15.93,631,16.96,14.18,19,0,0,0
APP-10177,50,36308.38,4,MORTGAGE,3000,PERSONAL,60,10.36,711,4.28,56.67,9,0,0,0
APP-10178,31,120350.71,17,OTHER,28000,DEBTCONSOLIDATION,36,12.69,649,15.71,58.34,8,1,0,0
APP-10179,48,61439.81,6,RENT,37000,DEBTCONSOLIDATION,36,8.54,761,5.92,24.02,12,0,0,0
APP-10180,45,63771.76,9,RENT,15000,PERSONAL,36,11.16,726,42.82,17.77,7,3,0,0
APP-10181,59,45499.86,0,MORTGAGE,33000,PERSONAL,36,13.86,655,35.79,53.23,8,0,0,0
APP-10182,53,48310.93,4,RENT,13000,DEBTCONSOLIDATION,36,12.93,686,7.43,36.77,13,0,0,0
APP-10183,21,72539.0,13,RENT,24000,PERSONAL,36,11.96,713,26.09,36.6,8,0,0,0
APP-10184,47,35326.49,15,RENT,17000,HOMEIMPROVEMENT,36,13.51,683,31.53,37.62,12,0,0,0
APP-10185,33,,3,MORTGAGE,3000,DEBTCONSOLIDATION,60,15.0,635,7.55,74.14,7,0,0,0
APP-10186,61,127457.73,9,RENT,8000,DEBTCONSOLIDATION,36,15.66,669,9.29,72.42,9,0,0,0
APP-10187,23,20602.8,16,RENT,22000,VENTURE,36,15.96,657,13.51,53.38,5,0,0,0
APP-10188,59,27704.33,6,RENT,32000,HOMEIMPROVEMENT,36,16.84,568,11.47,57.31,13,0,0,1
APP-10189,26,83935.59,1,RENT,24000,DEBTCONSOLIDATION,60,11.41,739,3.26,69.62,10,0,0,0
APP-10190,28,118418.94,8,OWN,26000,DEBTCONSOLIDATION,60,16.87,649,7.61,19.79,6,2,0,0
APP-10191,47,46866.28,11,OTHER,36000,DEBTCONSOLIDATION,60,13.26,653,33.99,8.39,10,0,0,0
APP-10192,29,22045.85,0,MORTGAGE,36000,DEBTCONSOLIDATION,36,9.88,733,19.07,39.78,11,3,0,0
APP-10193,57,122511.73,6,OTHER,8000,VENTURE,60,11.12,704,15.05,55.91,9,0,0,0
APP-10194,53,39913.4,12,RENT,6000,PERSONAL,60,11.46,669,10.16,75.27,9,0,0,0
APP-10195,62,49979.93,19,MORTGAGE,33000,HOMEIMPROVEMENT,36,11.59,698,6.95,25.94,6,0,0,0
APP-10196,64,70229.41,7,RENT,6000,DEBTCONSOLIDATION,36,11.42,659,17.06,21.11,6,0,0,0
APP-10197,44,42906.7,1,MORTGAGE,26000,DEBTCONSOLIDATION,60,13.87,626,24.69,35.82,9,0,0,0
APP-10198,35,38635.82,10,RENT,32000,MEDICAL,36,15.79,668,9.01,16.23,7,0,0,0
APP-10199,52,38991.54,4,MORTGAGE,21000,VENTURE,60,11.14,667,19.01,36.0,11,0,0,0
APP-10200,52,151594.47,3,RENT,23000,VENTURE,36,14.38,642,13.8,34.79,8,0,0,0
APP-10201,44,106916.86,11,RENT,39000,DEBTCONSOLIDATION,36,14.6,605,23.02,10.85,8,0,0,0
APP-10202,61,79798.39,19,MORTGAGE,14000,PERSONAL,36,12.94,689,13.38,28.28,7,0,0,0
APP-10203,69,20066.03,17,MORTGAGE,40000,PERSONAL,36,18.0,541,15.68,19.91,9,1,0,1
APP-10204,69,79945.14,2,MORTGAGE,3000,EDUCATION,60,13.75,689,5.27,33.25,7,0,0,0
APP-10205,32,77815.83,15,MORTGAGE,23000,DEBTCONSOLIDATION,36,13.95,665,23.0,74.48,13,0,0,0
APP-10206,59,31600.66,3,RENT,10000,MEDICAL,36,11.01,680,38.0,0.77,8,0,0,0
APP-10207,22,68142.41,4,MORTGAGE,3000,HOMEIMPROVEMENT,36,12.67,695,26.4,22.8,13,0,0,0
APP-10208,23,101290.33,19,RENT,33000,PERSONAL,36,8.34,727,25.79,39.94,9,0,0,0
APP-10209,69,79593.12,18,MORTGAGE,9000,DEBTCONSOLIDATION,36,11.27,651,35.05,53.06,7,0,0,0
APP-10210,57,42613.03,2,MORTGAGE,17000,VENTURE,36,15.48,662,13.3,13.02,12,0,0,0
APP-10211,69,60272.57,0,OWN,34000,VENTURE,36,13.32,694,16.97,34.41,13,0,0,0
APP-10212,37,86264.93,4,MORTGAGE,12000,DEBTCONSOLIDATION,36,13.96,627,16.59,24.54,7,0,0,0
APP-10213,69,61680.68,11,RENT,33000,DEBTCONSOLIDATION,36,14.46,636,27.41,69.01,9,0,0,0
APP-10214,22,112099.53,18,MORTGAGE,9000,PERSONAL,60,13.6,705,11.69,11.16,8,0,0,0
APP-10215,22,72972.71,0,RENT,33000,PERSONAL,36,13.53,670,7.43,21.58,10,0,0,0
APP-10216,48,87243.76,7,RENT,22000,HOMEIMPROVEMENT,36,13.86,626,26.48,44.7,13,0,0,0
APP-10217,43,90282.63,4,MORTGAGE,26000,EDUCATION,36,14.76,598,19.64,52.04,11,1,0,0
APP-10218,57,35124.66,0,RENT,21000,PERSONAL,36,10.53,682,13.25,43.11,5,0,0,0
APP-10219,52,61389.43,16,MORTGAGE,2000,HOMEIMPROVEMENT,36,10.72,717,5.37,44.22,9,1,0,0
APP-10220,53,50707.18,16,RENT,22000,DEBTCONSOLIDATION,36,9.36,731,5.69,7.02,8,0,0,0
APP-10221,21,100903.81,3,RENT,8000,PERSONAL,36,16.85,605,20.25,52.94,5,0,0,0
APP-10222,39,75479.51,1,MORTGAGE,26000,DEBTCONSOLIDATION,36,12.46,713,18.81,7.96,17,0,0,0
APP-10223,22,54496.61,1,MORTGAGE,10000,VENTURE,60,13.34,626,14.06,27.26,8,0,0,0
APP-10224,64,31541.97,8,MORTGAGE,23000,DEBTCONSOLIDATION,36,7.73,792,20.72,69.9,10,0,0,0
APP-10225,46,26944.81,3,RENT,3000,DEBTCONSOLIDATION,36,12.92,671,13.94,38.49,10,0,0,0
APP-10226,52,69924.5,9,RENT,20000,EDUCATION,36,14.6,615,29.14,58.91,12,1,0,1
APP-10227,26,41831.03,7,OWN,7000,MEDICAL,60,13.82,708,17.55,16.4,12,0,0,0
APP-10228,52,83538.53,3,MORTGAGE,6000,DEBTCONSOLIDATION,36,16.12,685,10.16,48.28,10,0,0,0
APP-10229,24,26329.09,15,OWN,11000,DEBTCONSOLIDATION,60,9.69,732,22.05,49.19,9,0,0,0
APP-10230,31,132783.54,1,RENT,2000,MEDICAL,60,13.82,703,25.23,62.96,10,0,0,0
APP-10231,37,83444.08,16,OWN,27000,VENTURE,60,8.75,790,6.67,46.87,8,0,0,0
APP-10232,58,62918.31,11,MORTGAGE,27000,MEDICAL,60,13.56,666,19.47,5.77,6,1,0,0
APP-10233,44,138902.77,17,OWN,19000,PERSONAL,36,11.19,741,9.62,55.63,9,0,0,0
APP-10234,25,96202.34,0,RENT,22000,DEBTCONSOLIDATION,36,13.35,650,18.76,7.58,12,3,1,0
APP-10235,54,47216.49,15,MORTGAGE,13000,DEBTCONSOLIDATION,36,11.07,703,24.16,47.28,12,0,0,0
